c1,c1lat,c1long,c2,c2lat,c2long,route,count,,Unique,ulat,ulong,suma,sumb,sum
Nairobi,-1.283346742,36.81665686,Lagos,6.443261653,3.391531071,Nairobi to Lagos,2,,Kigali,-1.953590069,30.06053178,1,1,2
Bangkok,13.74999921,100.5166447,Hanoi,21.03332725,105.8500142,Bangkok to Hanoi,2,,Zurich,47.37998781,8.55001013,1,1,2
Lusaka,-15.41664427,28.28332759,Beijing,39.92889223,116.3882857,Lusaka to Beijing,2,,Perth,-31.95501463,115.8399987,1,1,2
Entebbe,0.060395527,32.46002356,Bangkok,13.74999921,100.5166447,Entebbe to Bangkok,1,,Jinan,36.67498232,116.9950187,0,2,2
Conakry,9.531522846,-13.68023503,Brussels,50.83331708,4.333316608,Conakry to Brussels,1,,Hangzhou,30.24997398,120.1700187,0,2,2
"Washington, D.C.",38.89954938,-77.00941858,Hong Kong,22.3049809,114.1850093,"Washington, D.C. to Hong Kong",1,,Taipei,25.03583333,121.5683333,0,2,2
Kampala,0.316658955,32.58332353,Doha,25.28655601,51.53296789,Kampala to Doha,1,,Bujumbura,-3.37608722,29.36000606,2,0,2
Lisbon,38.72272288,-9.144866305,Wenzhou,28.0199809,120.6500927,Lisbon to Wenzhou,1,,Lisbon,38.72272288,-9.144866305,1,0,1
Kampala,0.316658955,32.58332353,Nairobi,-1.283346742,36.81665686,Kampala to Nairobi,1,,Dodoma,-6.183306052,35.75000362,1,0,1
Lilongwe,-13.98329507,33.78330196,Nairobi,-1.283346742,36.81665686,Lilongwe to Nairobi,1,,Gaborone,-24.64631346,25.91194779,1,0,1
Brazzaville,-4.259185772,15.28468949,Beijing,39.92889223,116.3882857,Brazzaville to Beijing,1,,Tete,-16.17003497,33.58000688,1,0,1
Dodoma,-6.183306052,35.75000362,Nairobi,-1.283346742,36.81665686,Dodoma to Nairobi,1,,Miami,25.7876107,-80.22410608,1,0,1
Lusaka,-15.41664427,28.28332759,Amsterdam,52.34996869,4.916640176,Lusaka to Amsterdam,1,,Mombasa,-4.040026022,39.68991817,1,0,1
Abuja,9.083333149,7.533328002,Bangkok,13.74999921,100.5166447,Abuja to Bangkok,1,,Tobruk,32.07999147,23.96002559,1,0,1
Kinshasa,-4.329724102,15.31497188,Entebbe,0.060395527,32.46002356,Kinshasa to Entebbe,1,,Tokyo,35.68501691,139.7514074,1,0,1
Cairo,30.04996035,31.24996822,Paris,48.86669293,2.333335326,Cairo to Paris,1,,Dar es Salaam,-6.800012595,39.26834184,1,0,1
Bangkok,13.74999921,100.5166447,Ho Chi Minh City,10.78002545,106.6950272,Bangkok to Ho Chi Minh City,1,,Windhoek,-22.57000608,17.0835461,1,0,1
Luanda,-8.838286114,13.23442704,Hanoi,21.03332725,105.8500142,Luanda to Hanoi,1,,Nampula,-15.13604124,39.29304317,1,0,1
Lilongwe,-13.98329507,33.78330196,Pretoria,-25.70692055,28.22942908,Lilongwe to Pretoria,1,,Blantyre,-15.79000649,34.98994665,1,0,1
Nairobi,-1.283346742,36.81665686,Kinshasa,-4.329724102,15.31497188,Nairobi to Kinshasa,1,,Tehran,35.67194277,51.42434403,1,0,1
Entebbe,0.060395527,32.46002356,Lome,6.131937072,1.222757119,Entebbe to Lome,1,,Wenzhou,28.0199809,120.6500927,0,1,1
Singapore,1.293033466,103.8558207,Da Nang,16.06003908,108.2499711,Singapore to Da Nang,1,,Lome,6.131937072,1.222757119,0,1,1
Paris,48.86669293,2.333335326,Shanghai,31.21645245,121.4365047,Paris to Shanghai,1,,Da Nang,16.06003908,108.2499711,0,1,1
Lilongwe,-13.98329507,33.78330196,Islamabad,33.69999595,73.16663448,Lilongwe to Islamabad,1,,Islamabad,33.69999595,73.16663448,0,1,1
Nairobi,-1.283346742,36.81665686,Luanda,-8.838286114,13.23442704,Nairobi to Luanda,1,,Dalian,38.92283839,121.6298308,0,1,1
Juba,4.829975198,31.58002559,Cairo,30.04996035,31.24996822,Juba to Cairo,1,,Changsha,28.19996991,112.969993,0,1,1
Pretoria,-25.70692055,28.22942908,Dubai,25.22999615,55.27997432,Pretoria to Dubai,1,,Qingdao,36.08997927,120.3300089,0,1,1
Nairobi,-1.283346742,36.81665686,Porto-Novo,6.483310973,2.616625528,Nairobi to Porto-Novo,1,,Riyadh,24.64083315,46.77274166,0,1,1
Nagoya,35.15499758,136.9149914,Dalian,38.92283839,121.6298308,Nagoya to Dalian,1,,Xiamen,24.44999208,118.080017,0,1,1
Kampala,0.316658955,32.58332353,Cairo,30.04996035,31.24996822,Kampala to Cairo,1,,Hohhot,40.81997479,111.6599955,0,1,1
Nairobi,-1.283346742,36.81665686,Juba,4.829975198,31.58002559,Nairobi to Juba,1,,Alexandria,31.20001935,29.94999589,0,1,1
Nairobi,-1.283346742,36.81665686,Amsterdam,52.34996869,4.916640176,Nairobi to Amsterdam,1,,Chengdu,30.67000002,104.0700195,0,1,1
